Name,Subcategory,Category,Type,IsSoftware,Counts
Adobe Dreamweaver,Web Design and Development,Information Technology,Specialized Skill,True,128
Adobe Experience Cloud,Marketing Software,Marketing and Public Relations,Specialized Skill,True,42
Adobe Experience Manager,Content Management Systems,Information Technology,Specialized Skill,True,342
Adobe Fireworks,User Interface and User Experience (UI/UX) Design,Design,Specialized Skill,True,2
Adobe Flash,Media Production,Media and Communications,Specialized Skill,True,112
Adobe Fonts,Graphic and Visual Design Software,Design,Specialized Skill,True,1
Adobe FrameMaker,Writing and Editing,Media and Communications,Specialized Skill,True,34
Adobe Illustrator,Graphic and Visual Design Software,Design,Specialized Skill,True,2571
Adobe ImageReady,Graphic and Visual Design Software,Design,Specialized Skill,True,1
Adobe InCopy,Writing and Editing,Media and Communications,Specialized Skill,True,14
Adobe InDesign,Graphic and Visual Design Software,Design,Specialized Skill,True,2374
Adobe Livecycle Designer,Graphic and Visual Design Software,Design,Specialized Skill,True,63
Adobe Marketing Cloud,Marketing Software,Marketing and Public Relations,Specialized Skill,True,33
Adobe Media Encoder,Photo/Video Production and Technology,Media and Communications,Specialized Skill,True,13
Adobe PageMaker,Graphic and Visual Design Software,Design,Specialized Skill,True,1
Adobe Photoshop,Graphic and Visual Design Software,Design,Specialized Skill,True,4386
Adobe Photoshop Elements,Graphic and Visual Design Software,Design,Specialized Skill,True,4
Adobe Photoshop Lightroom,Graphic and Visual Design Software,Design,Specialized Skill,True,46
Adobe Premiere Pro,Photo/Video Production and Technology,Media and Communications,Specialized Skill,True,438
Adobe Presenter,Photo/Video Production and Technology,Media and Communications,Specialized Skill,True,1
Adobe RoboHelp,Education Software and Technology,Education and Training,Specialized Skill,True,10
Adobe Spark,Graphic and Visual Design Software,Design,Specialized Skill,True,5
Adobe Stock,Graphic and Visual Design Software,Design,Specialized Skill,True,2
Adobe Substance,Graphic and Visual Design Software,Design,Specialized Skill,True,1
Adobe Target,Marketing Software,Marketing and Public Relations,Specialized Skill,True,122
Adobe Technical Communication Suite,,,Specialized Skill,True,1
Adobe XD,User Interface and User Experience (UI/UX) Design,Design,Specialized Skill,True,293
Adolescent Medicine,General Medicine,Health Care,Specialized Skill,False,8
Adolescent Psychology,Mental and Behavioral Health Specialties,Health Care,Specialized Skill,False,46
Adoptions,Community and Social Work,Social and Human Services,Specialized Skill,False,4
Adrenal Diseases And Disorders,Endocrinology,Health Care,Specialized Skill,False,1
Adrenal Glands,Endocrinology,Health Care,Specialized Skill,False,12
Adserver,,,Specialized Skill,True,4
Adult Development,General Medicine,Health Care,Specialized Skill,False,2
Adult Education,Training Programs,Education and Training,Specialized Skill,False,880
Adult Learning Principles,Instructional and Curriculum Design,Education and Training,Specialized Skill,False,53
Adult Nurse Practitioner (ANP-BC),,,Certification,False,3
Adult Safeguarding,,,Specialized Skill,False,881
Adult Trauma Life Support,Emergency and Intensive Care,Health Care,Certification,False,68
Advance Ship Notice,General Shipping and Receiving,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,2
Advance Steel (CAD Software),Engineering Software,Engineering,Specialized Skill,True,31
Advanced Analytics,Data Analysis,Analysis,Specialized Skill,False,988
Advanced Burn Life Support,Emergency and Intensive Care,Health Care,Certification,False,4
Advanced Business Application Programming (ABAP),Other Programming Languages,Information Technology,Specialized Skill,True,178
Advanced Cardiovascular Life Support (ACLS) Certification,Emergency and Intensive Care,Health Care,Certification,False,201
Advanced Case Management,Community and Social Work,Social and Human Services,Specialized Skill,False,3
Advanced Certified Scrum Master,,,Certification,False,1
Advanced Composite Materials,"Elements, Compounds, and Materials",Science and Research,Specialized Skill,False,7
Advanced Distribution Automation,Energy Management,Energy and Utilities,Specialized Skill,False,1
Advanced Driver Assistance Systems,Automotive Technologies,Engineering,Specialized Skill,False,165
Advanced Emergency Medical Technician (AEMT),,,Certification,False,3
Advanced Encryption Standard (AES),Cybersecurity,Information Technology,Specialized Skill,False,31
Advanced Ground Instructor,,,Certification,False,1
Advanced Installer,Software Development Tools,Information Technology,Specialized Skill,True,1
Advanced Interactive Multidimensional Modeling System (AIMMS),Data Science,Analysis,Specialized Skill,False,8
Advanced Life Support,,,Certification,False,418
Advanced Manufacturing,Manufacturing Design,Manufacturing and Production,Specialized Skill,False,277
Advanced Manufacturing Equipment,Machinery,Manufacturing and Production,Specialized Skill,False,4
Advanced Mathematics,Mathematics and Mathematical Modeling,Analysis,Specialized Skill,False,299
Advanced Message Queuing Protocol,Middleware,Information Technology,Specialized Skill,True,42
Advanced Pediatric Life Support,,,Certification,False,90
Advanced Practice Registered Nurse,,,Certification,False,15
Advanced Process Control,Automation Engineering,Engineering,Specialized Skill,False,12
Advanced Product Quality Planning,Manufacturing Standards,Manufacturing and Production,Specialized Skill,False,505
Advanced RISC Computing,Computer Science,Information Technology,Specialized Skill,False,3
Advanced Rest Client,Software Development Tools,Information Technology,Specialized Skill,True,1
Advanced Robotics,Robotics,Engineering,Specialized Skill,False,11
Advanced Traffic Management Systems,Transportation Operations,"Transportation, Supply Chain, and Logistics",Specialized Skill,False,19
Advanced Trauma Care For Nurses,Emergency and Intensive Care,Health Care,Certification,False,2
Advanced Trauma Life Support,Emergency and Intensive Care,Health Care,Certification,False,2
Advantage Database Servers,Databases,Information Technology,Specialized Skill,False,69
Advent Geneva,Accounting and Finance Software,Finance,Specialized Skill,True,5
Adventure Education,Sports and Recreation,"Performing Arts, Sports, and Recreation",Specialized Skill,False,2
Adventure Therapy,Alternative Therapy,Health Care,Specialized Skill,False,2
Adversarial Machine Learning,Artificial Intelligence and Machine Learning (AI/ML),Information Technology,Specialized Skill,False,2
Adverse Drug Reactions,General Medicine,Health Care,Specialized Skill,False,39
Adverse Possession,,,Specialized Skill,False,36
Advertisement,Advertising,Marketing and Public Relations,Specialized Skill,False,1879
Advertising Campaigns,Advertising,Marketing and Public Relations,Specialized Skill,False,586
Advertising Copywriting,Advertising,Marketing and Public Relations,Specialized Skill,False,26
Advertising Mail,Advertising,Marketing and Public Relations,Specialized Skill,False,637
Advertising Management,Advertising,Marketing and Public Relations,Specialized Skill,False,11
Advertising Networks,Online Advertising,Marketing and Public Relations,Specialized Skill,False,30
Advertising Operations,Advertising,Marketing and Public Relations,Specialized Skill,False,41
Advertising Sales,Specialized Sales,Sales,Specialized Skill,False,205
Advertising Strategy,Advertising,Marketing and Public Relations,Specialized Skill,False,39
Advertorials,Online Advertising,Marketing and Public Relations,Specialized Skill,False,31
Advising,Counseling Services,Social and Human Services,Common Skill,False,16141
Advisory Work,Business Consulting,Business,Specialized Skill,False,868
Advocacy,"Policy Analysis, Research, and Development","Economics, Policy, and Social Studies",Common Skill,False,8763
Adware,Malware Protection,Information Technology,Specialized Skill,True,6
Aeration,Groundskeeping and Yard Care,"Maintenance, Repair, and Facility Services",Specialized Skill,False,10
Aeration Systems,Groundskeeping and Yard Care,"Maintenance, Repair, and Facility Services",Specialized Skill,False,6
Aerial Cable,Telecommunications Equipment and Installation,"Maintenance, Repair, and Facility Services",Specialized Skill,False,5
Aerial Lifts,Heavy Equipment Operation,Architecture and Construction,Specialized Skill,False,2
Aerial Photography,Photo/Video Production and Technology,Media and Communications,Specialized Skill,False,13
Aerial Surveys,Surveying and Cartography,Engineering,Specialized Skill,False,7
Aerial Work Platforms,Heavy Equipment Operation,Architecture and Construction,Specialized Skill,False,118
Aerobic Conditioning,Coaching and Athletic Training,"Performing Arts, Sports, and Recreation",Specialized Skill,False,3
Aerobic Exercises,Coaching and Athletic Training,"Performing Arts, Sports, and Recreation",Specialized Skill,False,3
Aerobics,Physical Therapy,Health Care,Specialized Skill,False,34
Aerodynamics,Aerospace Engineering,Engineering,Specialized Skill,False,94
Aerohive Certified Wireless Administrator (ACWA),,,Certification,False,1
Aeroponics,,,Specialized Skill,False,2
Aerosol Science,Materials Science and Engineering,Engineering,Specialized Skill,False,3
Aerospace Basic Quality System Standards,Manufacturing Standards,Manufacturing and Production,Specialized Skill,False,447
Aerospace Engineering,Aerospace Engineering,Engineering,Specialized Skill,False,463
Aerospace Industry,Aerospace Engineering,Engineering,Specialized Skill,False,483
Aerospace Materials,Aerospace Engineering,Engineering,Specialized Skill,False,76
Aerospace Technology,Aerospace Engineering,Engineering,Specialized Skill,False,6
Aerospike,Databases,Information Technology,Specialized Skill,True,7
Aerostructure,Aerospace Engineering,Engineering,Specialized Skill,False,18
Aesthetic Design,Creative Design,Design,Specialized Skill,False,30
Aesthetic Medicine,Dermatology,Health Care,Specialized Skill,False,25
Aesthetics,Creative Design,Design,Common Skill,False,418
Affiliate Marketing,Digital Marketing,Marketing and Public Relations,Specialized Skill,False,300
Affiliate Networks,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,73
Affinity Chromatography,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,13
Affinity Designer,Graphic and Visual Design Software,Design,Specialized Skill,True,2
Affinity Marketing,Marketing Strategy and Techniques,Marketing and Public Relations,Specialized Skill,False,53
Affinity Photo,Graphic and Visual Design Software,Design,Specialized Skill,True,2
Affinity Publisher,Graphic and Visual Design Software,Design,Specialized Skill,True,2
African Studies,Social Studies,"Economics, Policy, and Social Studies",Specialized Skill,False,11
Africana Studies,Social Studies,"Economics, Policy, and Social Studies",Specialized Skill,False,1
Afrikaans Language,Language Competency,Media and Communications,Specialized Skill,False,13
Aftercare,Nursing and Patient Care,Health Care,Specialized Skill,False,47
Aftermarket Modifications,Specialized Sales,Sales,Specialized Skill,False,55
Aftermarket Sales,Specialized Sales,Sales,Specialized Skill,False,42
Aftersales,Client Support,Customer and Client Support,Specialized Skill,False,1519
Agarose Gel Electrophoresis,"Molecular, Cellular, and Microbiology",Science and Research,Specialized Skill,False,3
Agency Law,Regulation and Legal Compliance,"Law, Regulation, and Compliance",Specialized Skill,False,2
